start_time,peak_time,proton_flux,flare_peak_time,flare_class,flare_location,flare_region,TARP_num
2004-09-13 21:05:00,2004-09-14 00:05:00,273,2004-09-12 00:56:00,M4,N04E42,10672,010812
2004-09-19 19:25:00,2004-09-20 01:00:00,57,2004-09-19 17:12:00,M1,N03W58,10672,010812
2004-11-07 19:10:00,2004-11-08 01:15:00,495,2004-11-07 16:06:00,X2,N09W17,10696,010956
2005-01-16 02:10:00,2005-01-17 17:50:00,5040,2005-01-15 23:02:00,X2,N15W05,10720,011112
2005-05-14 05:25:00,2005-05-15 02:40:00,3140,2005-05-13 16:57:00,M8,N12E11,10759,011348
2005-06-16 22:00:00,2005-06-17 05:00:00,44,2005-06-16 20:22:00,M4,N09W87,10775,011409
2005-07-14 02:45:00,2005-07-15 03:45:00,134,2005-07-13 14:49:00,M5,N10W80,10786,011458
2005-07-27 23:00:00,2005-07-29 17:15:00,41,2005-07-27 05:02:00,M3,N11E90,10792,011507
2005-08-22 20:40:00,2005-08-23 10:45:00,330,2005-08-22 17:27:00,M5,S12W60,10798,011545
2005-09-08 02:15:00,2005-09-11 04:25:00,1880,2005-09-07 17:40:00,X17,S06E89,10808,011589
2006-12-06 15:55:00,2006-12-07 19:30:00,1980,2006-12-05 10:35:00,X9,S07E79,10930,012243
2006-12-13 03:10:00,2006-12-13 09:25:00,698,2006-12-13 02:40:00,X3,S05W23,10930,012243
2010-08-14 12:30:00,2010-08-14 12:45:00,14,2010-08-14 10:05:00,C4,N17W52,11099,013550
